trained_at_utc,station,pollutant,horizon_hours,mae,rmse,r2,baseline_mae,baseline_rmse,baseline_r2,beats_baseline_mae,train_rows,test_rows,model_path
2026-06-23T02:31:40+00:00,València - Molí del Sol,NO2,8,9.063727516215769,12.482766415933591,0.1964233731090805,12.11229946524064,17.6878761462999,-0.6134554771833431,True,18095,187,models/builded/model__valencia_moli_del_sol__no2__h08.json
2026-06-23T02:31:40+00:00,València - Molí del Sol,NO2,24,9.152813177123535,12.822838264602275,0.2213315581420668,10.0,15.057850228475004,-0.0737673422054314,True,17923,157,models/builded/model__valencia_moli_del_sol__no2__h24.json
2026-06-23T02:31:40+00:00,València - Molí del Sol,O3,8,10.34948095740028,13.31962575926866,0.4867493233604306,9.29114481409002,12.05376302264518,0.5796696172880609,False,19385,365,models/builded/model__valencia_moli_del_sol__o3__h08.json
2026-06-23T02:31:40+00:00,València - Molí del Sol,O3,24,12.396811421613249,15.144214477387496,0.3040737288662027,12.415097557647702,15.90395458692479,0.2324971761892694,True,19245,349,models/builded/model__valencia_moli_del_sol__o3__h24.json
2026-06-23T02:31:40+00:00,València - Molí del Sol,PM10,8,1.5303420611194556,2.107996411392269,0.8545238888583204,1.978677494242835,2.885859455393626,0.727352009045648,True,18179,353,models/builded/model__valencia_moli_del_sol__pm10__h08.json
2026-06-23T02:31:40+00:00,València - Molí del Sol,PM10,24,4.176668071102006,5.595111898891389,-0.108099986899746,4.805377018801093,6.736100131449303,-0.6061217567297452,True,17908,337,models/builded/model__valencia_moli_del_sol__pm10__h24.json
2026-06-23T02:31:40+00:00,València - Molí del Sol,PM2.5,8,0.7344749014804726,1.0902589887189629,0.9329838498407952,0.9772825247175538,1.5320704834882233,0.8676641183916356,True,18179,353,models/builded/model__valencia_moli_del_sol__pm2_5__h08.json
2026-06-23T02:31:40+00:00,València - Molí del Sol,PM2.5,24,2.357975711723025,3.457532389129325,0.1855124517214683,2.4875431518122784,3.8614450738710566,-0.015901632992199,True,17908,337,models/builded/model__valencia_moli_del_sol__pm2_5__h24.json
2026-06-23T02:31:40+00:00,València - Pista de Silla,SO2,8,0.9490506356395232,1.3116900615224518,0.130802719732863,1.091164095371669,1.9859252297689405,-0.9924236552087368,True,21857,713,models/builded/model__valencia_pista_de_silla__so2__h08.json
2026-06-23T02:31:40+00:00,València - Pista de Silla,SO2,24,0.889813152646936,1.2680089782349933,0.2043345185429184,0.7281831187410587,1.4604955358714484,-0.0555682720510786,False,21763,699,models/builded/model__valencia_pista_de_silla__so2__h24.json
2026-06-23T02:31:40+00:00,València - Pista de Silla,NO2,8,11.862521138788098,14.31345266262382,0.2531250034765246,16.284712482468443,21.847264023248837,-0.7400159239345643,True,22201,713,models/builded/model__valencia_pista_de_silla__no2__h08.json
2026-06-23T02:31:40+00:00,València - Pista de Silla,NO2,24,11.165125934964262,13.816434127262236,0.3120301142852126,10.629470672389129,15.621323601825852,0.1205459666490088,False,22139,699,models/builded/model__valencia_pista_de_silla__no2__h24.json
2026-06-23T02:31:40+00:00,València - Pista de Silla,O3,8,8.425618453281679,10.83486005044257,0.3803580866381276,8.154412720067564,10.569681824646208,0.4103178219212167,False,22230,733,models/builded/model__valencia_pista_de_silla__o3__h08.json
2026-06-23T02:31:40+00:00,València - Pista de Silla,O3,24,9.30114840302506,11.730668660862111,0.2790300794343927,9.371853622899648,12.298041696122938,0.2076017054024701,True,22138,717,models/builded/model__valencia_pista_de_silla__o3__h24.json
2026-06-23T02:31:40+00:00,València - Pista de Silla,PM10,8,1.5561821438398502,2.1259837980992016,0.9017770919984978,1.583236773793839,2.47442315810877,0.8669420494244053,True,22242,672,models/builded/model__valencia_pista_de_silla__pm10__h08.json
